,day,campaign,source,medium,channelGrouping,dimension4,hostname,landingPagePath,fullReferrer,goal1Completions,goal2Completions,goal3Completions,goal4Completions,goal5Completions,goal6Completions,goalCompletionsAll
0,2023-01-31,(not set),(direct),(none),Direct,GA1.1.1582759813.1675187342,clinicas.vitaldent.com,www.vitaldent.com/es/protesis-dental/,(direct),0,0,1,0,0,0,1
1,2023-01-31,(not set),(direct),(none),Direct,GA1.1.1892979564.1670251404,clinicas.vitaldent.com,clinicas.vitaldent.com/,(direct),0,0,2,0,0,0,2
2,2023-01-31,(not set),(direct),(none),Direct,GA1.1.1892979564.1670251404,clinicas.vitaldent.com,clinicas.vitaldent.com/almeria/vitaldent-almeria-i-347,(direct),0,0,1,0,0,0,1
3,2023-01-31,(not set),(direct),(none),Direct,GA1.1.443350042.1657091164,clinicas.vitaldent.com,"clinicas.vitaldent.com/resultados?lat=41.3458415&lng=2.035041&search=08830+sant+boi+de+llobregat,+barcelona,+españa&bounds[sw]=41.3181636,2.012359&bounds[ne]=41.3611768,2.058119",(direct),0,0,1,0,0,0,1
4,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1342976088.1675130218,clinicas.vitaldent.com,"clinicas.vitaldent.com/resultados?lat=41.4538682&lng=2.2101403&search=08921,+santa+coloma+de+gramanet&bounds[sw]=41.44911154098692,2.199556371637007&bounds[ne]=41.46132386824332,2.219962371059622",(direct),0,1,0,0,0,0,1
5,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1482051276.1675183109,clinicas.vitaldent.com,clinicas.vitaldent.com/barcelona/vitaldent-martorell-253,(direct),0,1,1,0,0,0,2
6,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1483870200.1675175073,clinicas.vitaldent.com,clinicas.vitaldent.com/,(direct),0,1,0,0,0,0,1
7,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1671163809.1674779493,clinicas.vitaldent.com,clinicas.vitaldent.com/,(direct),0,1,0,0,0,0,1
8,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1740006360.1675197849,www.vitaldent.com,www.vitaldent.com/blog/tratamientos-dentales/,(direct),1,0,1,0,0,0,2
9,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1790758306.1675158683,clinicas.vitaldent.com,www.vitaldent.com/blog/importancia-revision-odontologica-anual/,(direct),0,1,1,0,0,0,2
10,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1790758306.1675158683,www.vitaldent.com,www.vitaldent.com/blog/importancia-revision-odontologica-anual/,(direct),1,0,0,0,0,0,1
11,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1822885229.1675184829,clinicas.vitaldent.com,www.vitaldent.com/blog/importancia-revision-odontologica-anual/,(direct),0,1,0,0,0,0,1
12,2023-01-31,(not set),(direct),(none),Direct,GA1.2.1954176440.1671121846,clinicas.vitaldent.com,www.vitaldent.com/blog/importancia-revision-odontologica-anual/,(direct),0,1,0,0,0,0,1
13,2023-01-31,(not set),(direct),(none),Direct,GA1.2.2000825889.1675120330,clinicas.vitaldent.com,clinicas.vitaldent.com/,(direct),0,1,0,0,0,0,1
14,2023-01-31,(not set),(direct),(none),Direct,GA1.2.2000825889.1675120330,www.vitaldent.com,clinicas.vitaldent.com/,(direct),0,0,1,0,0,0,1
15,2023-01-31,(not set),(direct),(none),Direct,GA1.2.2064571542.1672824047,clinicas.vitaldent.com,clinicas.vitaldent.com/,(direct),0,0,1,0,0,0,1
16,2023-01-31,(not set),(direct),(none),Direct,GA1.2.445345028.1675148334,clinicas.vitaldent.com,"clinicas.vitaldent.com/resultados?lat=41.4946642&lng=2.3591531&search=08330,+premià+de+mar&bounds[sw]=41.48491662761018,2.344351145760616&bounds[ne]=41.49905344721746,2.376315942010494",(direct),0,1,0,0,0,0,1
17,2023-01-31,(not set),(direct),(none),Direct,GA1.2.530235579.1671193217,clinicas.vitaldent.com,www.vitaldent.com/es/estetica-dental/,(direct),0,1,0,0,0,0,1
18,2023-01-31,(not set),(direct),(none),Direct,GA1.2.736227856.1675090524,www.vitaldent.com,(not set),(direct),1,0,0,0,0,0,1
19,2023-01-31,(not set),(not set),cpc,Paid Search,GA1.1.1453444882.1675158760,www.vitaldent.com,www.vitaldent.com/es/,(not set),0,0,1,0,0,0,1
20,2023-01-31,(not set),b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com,referral,Referral,GA1.1.662643967.1675186457,clinicas.vitaldent.com,clinicas.vitaldent.com/,b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com/,0,1,1,0,0,0,2
21,2023-01-31,(not set),b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com,referral,Referral,GA1.2.1257925821.1671651603,clinicas.vitaldent.com,clinicas.vitaldent.com/,b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com/,0,1,0,0,0,0,1
22,2023-01-31,(not set),b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com,referral,Referral,GA1.2.229760837.1675179018,clinicas.vitaldent.com,clinicas.vitaldent.com/,b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com/,0,1,0,0,0,0,1
23,2023-01-31,(not set),b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com,referral,Referral,GA1.2.28005808.1668193992,clinicas.vitaldent.com,clinicas.vitaldent.com/,b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com/,0,1,0,0,0,0,1
24,2023-01-31,(not set),b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com,referral,Referral,GA1.2.60443175.1675188237,clinicas.vitaldent.com,clinicas.vitaldent.com/,b797e736f9aa4659b49ed727fa70a214.svc.dynamics.com/,0,1,0,0,0,0,1
25,2023-01-31,(not set),bing,organic,Organic Search,GA1.1.157216845.1675197378,www.vitaldent.com,www.vitaldent.com/es/test-genetico-bacteriologico/,bing,0,0,1,0,0,0,1
26,2023-01-31,(not set),bing,organic,Organic Search,GA1.2.1806080574.1675157875,clinicas.vitaldent.com,clinicas.vitaldent.com/albacete,bing,0,1,0,0,0,0,1
27,2023-01-31,(not set),bing,organic,Organic Search,GA1.2.732474919.1675100146,www.vitaldent.com,www.vitaldent.com/es/odontologia-conservadora/,bing,0,0,1,0,0,0,1
28,2023-01-31,(not set),chatbot,(not set),(Other),GA1.2.313930111.1675199697,www.vitaldent.com,(not set),chatbot,1,0,0,0,0,0,1
29,2023-01-31,(not set),google,cpc,Paid Search,GA1.1.1013315380.1675169109,www.vitaldent.com,clinicas.vitaldent.com/,google,0,0,1,0,0,0,1
30,2023-01-31,(not set),google,cpc,Paid Search,GA1.1.568785678.1675167517,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,0,1,0,0,0,1
31,2023-01-31,(not set),google,cpc,Paid Search,GA1.2.381596294.1675139323,clinicas.vitaldent.com,"clinicas.vitaldent.com/resultados?lat=40.3825548&lng=-3.71184&search=c.+tarrasa,+1,+28026+madrid,+españa&bounds[sw]=40.3812084697085,-3.713204280291502&bounds[ne]=40.3839064302915,-3.710506319708498&dist=true",google,0,1,0,0,0,0,1
32,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1007709038.1668033851,www.vitaldent.com,clinicas.vitaldent.com/barcelona,google,0,0,1,0,0,0,1
33,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1026653872.1645201400,www.vitaldent.com,www.vitaldent.com/es/elige-vitaldent/,google,0,0,1,0,0,0,1
34,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1039522771.1651759011,www.vitaldent.com,www.vitaldent.com/blog/que-es-la-ortodoncia-removible-ventajas-e-inconvenientes/,google,0,0,1,0,0,0,1
35,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1039522771.1651759011,www.vitaldent.com,www.vitaldent.com/blog/que-hacer-ante-un-traumatismo-dental/,google,0,0,1,0,0,0,1
36,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1039522771.1651759011,www.vitaldent.com,www.vitaldent.com/blog/sabes-como-cuidar-correctamente-tus-encias/,google,0,0,1,0,0,0,1
37,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1053425775.1675170057,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
38,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1088277000.1675201342,www.vitaldent.com,www.vitaldent.com/es/tratamientos-dentales-odontologicos/,google,0,0,1,0,0,0,1
39,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1131841959.1675191280,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
40,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1221790981.1675158110,clinicas.vitaldent.com,clinicas.vitaldent.com/tarragona/vitaldent-clinica-dental-reus-161,google,0,0,1,0,0,0,1
41,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1244186389.1675159369,www.vitaldent.com,www.vitaldent.com/es/ortodoncia/,google,0,0,1,0,0,0,1
42,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1345854090.1675196032,www.vitaldent.com,www.vitaldent.com/blog/manchas-rojas-en-el-paladar-que-tipos-hay/,google,0,0,1,0,0,0,1
43,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1352576630.1675120077,clinicas.vitaldent.com,clinicas.vitaldent.com/barcelona/vitaldent-cerdanyola-i-50,google,0,0,1,0,0,0,1
44,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1355745486.1675191978,www.vitaldent.com,www.vitaldent.com/blog/fundas-dentales-problemas-que-se-pueden-presentar/,google,0,0,1,0,0,0,1
45,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1363954633.1675184822,www.vitaldent.com,www.vitaldent.com/blog/extraccion-muela-infectada-como-se-hace/,google,0,0,1,0,0,0,1
46,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1453255847.1675182026,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
47,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1484807701.1675195374,www.vitaldent.com,www.vitaldent.com/blog/como-combatir-las-consecuencias-del-estres-en-tu-mandibula/,google,0,0,1,0,0,0,1
48,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1496274450.1675149908,www.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-portugalete-355,google,0,0,1,0,0,0,1
49,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1512933028.1675195816,www.vitaldent.com,www.vitaldent.com/blog/que-es-lo-ultimo-en-ortodoncia-en-adultos/,google,0,0,1,0,0,0,1
50,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1561346673.1670942362,www.vitaldent.com,www.vitaldent.com/es/app-vitaldent/,google,1,0,0,0,0,0,1
51,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1629733920.1675175528,www.vitaldent.com,www.vitaldent.com/blog/anestesia-dental-en-el-embarazo-existen-riesgos/,google,0,0,1,0,0,0,1
52,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1634640530.1675200891,www.vitaldent.com,www.vitaldent.com/es/tratamientos-dentales-odontologicos/,google,0,0,1,0,0,0,1
53,2023-01-31,(not set),google,organic,Organic Search,GA1.1.164677196.1675168386,www.vitaldent.com,www.vitaldent.com/es/protesis-dental/,google,0,0,1,0,0,0,1
54,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1647667392.1642421371,www.vitaldent.com,clinicas.vitaldent.com/alicante/vitaldent-denia-287,google,0,0,1,0,0,0,1
55,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1699322078.1675183929,www.vitaldent.com,www.vitaldent.com/es/limpieza-dental-profesional-avanzada/,google,0,0,1,0,0,0,1
56,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1871542449.1675185883,clinicas.vitaldent.com,clinicas.vitaldent.com/santa-cruz-de-tenerife/vitaldent-candelaria-45,google,0,0,1,0,0,0,1
57,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1972417533.1674955342,clinicas.vitaldent.com,clinicas.vitaldent.com/las-palmas/vitaldent-las-palmas-330,google,0,1,1,0,0,0,2
58,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1977304057.1675202039,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
59,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1989014056.1675172380,clinicas.vitaldent.com,clinicas.vitaldent.com/barcelona/vitaldent-sant-andreu-179,google,0,1,0,0,0,0,1
60,2023-01-31,(not set),google,organic,Organic Search,GA1.1.1989014056.1675172380,www.vitaldent.com,clinicas.vitaldent.com/barcelona/vitaldent-sant-andreu-179,google,0,0,1,0,0,0,1
61,2023-01-31,(not set),google,organic,Organic Search,GA1.1.210509779.1673948444,www.vitaldent.com,www.vitaldent.com/es/app-vitaldent/,google,0,0,1,0,0,0,1
62,2023-01-31,(not set),google,organic,Organic Search,GA1.1.2134897913.1675194824,www.vitaldent.com,www.vitaldent.com/es/protesis-dental-fija/,google,0,0,1,0,0,0,1
63,2023-01-31,(not set),google,organic,Organic Search,GA1.1.2142956264.1675124356,www.vitaldent.com,www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,google,0,0,1,0,0,0,1
64,2023-01-31,(not set),google,organic,Organic Search,GA1.1.233388553.1675186426,clinicas.vitaldent.com,clinicas.vitaldent.com/sevilla/vitaldent-clinica-dental-lebrija-107,google,0,0,1,0,0,0,1
65,2023-01-31,(not set),google,organic,Organic Search,GA1.1.244306657.1675199037,clinicas.vitaldent.com,clinicas.vitaldent.com/santa-cruz-de-tenerife/vitaldent-candelaria-45,google,0,1,0,0,0,0,1
66,2023-01-31,(not set),google,organic,Organic Search,GA1.1.321581674.1675179518,www.vitaldent.com,www.vitaldent.com/blog/brackets-autoligables-como-se-colocan-y-que-ventajas-tienen/,google,0,0,1,0,0,0,1
67,2023-01-31,(not set),google,organic,Organic Search,GA1.1.339496597.1674945833,www.vitaldent.com,www.vitaldent.com/blog/por-que-suena-la-mandibula/,google,0,0,1,0,0,0,1
68,2023-01-31,(not set),google,organic,Organic Search,GA1.1.434788742.1646762669,www.vitaldent.com,clinicas.vitaldent.com/cantabria/vitaldent-santander-iv-358,google,0,0,1,0,0,0,1
69,2023-01-31,(not set),google,organic,Organic Search,GA1.1.516538594.1675177455,www.vitaldent.com,www.vitaldent.com/blog/dolor-muela-del-juicio-tratamiento/,google,0,0,1,0,0,0,1
70,2023-01-31,(not set),google,organic,Organic Search,GA1.1.562685712.1673265006,www.vitaldent.com,clinicas.vitaldent.com/sevilla/vitaldent-sevilla-i-190,google,0,0,1,0,0,0,1
71,2023-01-31,(not set),google,organic,Organic Search,GA1.1.60168472.1674747088,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
72,2023-01-31,(not set),google,organic,Organic Search,GA1.1.687541767.1675183543,clinicas.vitaldent.com,clinicas.vitaldent.com/huelva/vitaldent-huelva-alcalde-federico-molina-270,google,0,1,0,0,0,0,1
73,2023-01-31,(not set),google,organic,Organic Search,GA1.1.724302609.1673564163,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
74,2023-01-31,(not set),google,organic,Organic Search,GA1.1.729365679.1670541699,www.vitaldent.com,clinicas.vitaldent.com/las-palmas/vitaldent-telde-ii-338,google,0,0,1,0,0,0,1
75,2023-01-31,(not set),google,organic,Organic Search,GA1.1.754659211.1668634980,www.vitaldent.com,www.vitaldent.com/blog/cuanto-cuesta-una-ortodoncia/,google,0,0,1,0,0,0,1
76,2023-01-31,(not set),google,organic,Organic Search,GA1.1.754659211.1668634980,www.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
77,2023-01-31,(not set),google,organic,Organic Search,GA1.1.77504597.1675195439,www.vitaldent.com,clinicas.vitaldent.com/barcelona,google,0,0,1,0,0,0,1
78,2023-01-31,(not set),google,organic,Organic Search,GA1.1.902651148.1675165056,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
79,2023-01-31,(not set),google,organic,Organic Search,GA1.1.98085998.1670191404,clinicas.vitaldent.com,www.vitaldent.com/es/implantes-dentales-unitarios/,google,0,0,1,0,0,0,1
80,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1058926500.1675166720,clinicas.vitaldent.com,clinicas.vitaldent.com/,google,0,1,1,0,0,0,2
81,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1124363954.1675170448,clinicas.vitaldent.com,www.vitaldent.com/blog/limpieza-dental-con-ultrasonido-como-realiza/,google,0,1,0,0,0,0,1
82,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1130034921.1675190963,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-barakaldo-28,google,0,1,0,0,0,0,1
83,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1167943748.1675184419,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-paseo-extremadura-149,google,0,1,0,0,0,0,1
84,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1231125805.1675029921,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-alcorcon-mayor-328,google,0,1,0,0,0,0,1
85,2023-01-31,(not set),google,organic,Organic Search,GA1.2.126729927.1675148875,www.vitaldent.com,clinicas.vitaldent.com/madrid,google,0,0,1,0,0,0,1
86,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1282263202.1675178749,www.vitaldent.com,www.vitaldent.com/blog/fundas-dentales-problemas-que-se-pueden-presentar/,google,0,0,1,0,0,0,1
87,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1287894837.1675087196,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
88,2023-01-31,(not set),google,organic,Organic Search,GA1.2.131802054.1675186285,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-villaverde-ii-236,google,0,1,0,0,0,0,1
89,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1338053045.1671479984,clinicas.vitaldent.com,clinicas.vitaldent.com/vizcaya/vitaldent-getxo-350,google,0,1,0,0,0,0,1
90,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1340651489.1675115104,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,0,1,0,0,0,1
91,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1378218896.1644988461,clinicas.vitaldent.com,clinicas.vitaldent.com/tarragona,google,0,1,0,0,0,0,1
92,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1409640576.1675189730,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-clinica-dental-lopez-de-hoyos-269,google,0,1,0,0,0,0,1
93,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1410728438.1675201665,clinicas.vitaldent.com,clinicas.vitaldent.com/malaga/vitaldent-torremolinos-303,google,0,1,0,0,0,0,1
94,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1455122667.1675196803,clinicas.vitaldent.com,clinicas.vitaldent.com/murcia/vitaldent-alcantarilla-290,google,0,1,0,0,0,0,1
95,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1501222542.1675077963,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-san-sebastian-de-los-reyes-i-174,google,0,1,0,0,0,0,1
96,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1547709039.1673207528,clinicas.vitaldent.com,www.vitaldent.com/es/,google,0,1,0,0,0,0,1
97,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1588378419.1674740762,clinicas.vitaldent.com,clinicas.vitaldent.com/madrid/vitaldent-paseo-extremadura-149,google,0,2,1,0,0,0,3
98,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1613173600.1675181826,clinicas.vitaldent.com,clinicas.vitaldent.com/cadiz/vitaldent-la-linea-98,google,0,0,1,0,0,0,1
99,2023-01-31,(not set),google,organic,Organic Search,GA1.2.1637593925.1675192395,www.vitaldent.com,www.vitaldent.com/blog/que-es-un-puente-dental-y-para-que-se-utiliza/,google,0,0,1,0,0,0,1
